"N","Year","Status","Team","PTS","FG","FGA","FGP","TP","TPA","TPP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"1",1980,"Champion","Lakers",109.5,45,92,48.9130434782609,0,0.666666666666667,0,19.5,24,81.25,17.1666666666667,34.1666666666667,51.3333333333333,26.6666666666667,9.16666666666667,6.16666666666667,20,24.5
"2",1980,"Runner Up","Sixers",104.166666666667,43,88.3333333333333,48.6792452830189,0.166666666666667,2.66666666666667,6.25,18,24,75,9.5,27.6666666666667,37.1666666666667,31,9.33333333333333,10,15.1666666666667,22.5
"3",1981,"Champion","Celtics",96.5,40.1666666666667,85.3333333333333,47.0703125,0.5,2.83333333333333,17.6470588235294,15.6666666666667,21.5,72.8682170542636,16.6666666666667,30.6666666666667,47.3333333333333,22.8333333333333,6.66666666666667,5.33333333333333,16.8333333333333,23.1666666666667
"4",1981,"Runner Up","Rockets",86.6666666666667,33.8333333333333,89.3333333333333,37.8731343283582,0.5,1.83333333333333,27.2727272727273,18.5,25.8333333333333,71.6129032258064,18.6666666666667,24,42.6666666666667,18,7.83333333333333,5.66666666666667,13.1666666666667,20.1666666666667
"5",1982,"Champion","Lakers",112.333333333333,45.5,91.8333333333333,49.546279491833,0.166666666666667,1.5,11.1111111111111,21.1666666666667,31.5,67.1957671957672,18.3333333333333,29,47.3333333333333,31.3333333333333,10.6666666666667,7,19.3333333333333,25.5
"6",1982,"Runner Up","Sixers",112.5,46.1666666666667,92.5,49.9099099099099,0.666666666666667,2.33333333333333,28.5714285714286,19.5,27.8333333333333,70.059880239521,15,26.6666666666667,41.6666666666667,28.6666666666667,8.83333333333333,8.5,16.6666666666667,26.5
"7",1983,"Champion","Sixers",110.5,43,88.5,48.5875706214689,0,0.75,0,24.5,34.5,71.0144927536232,18,30,48,26,11,8,17,22.25
"8",1983,"Runner Up","Lakers",100.5,40.75,90.25,45.1523545706371,0.75,3.75,20,18.25,23.25,78.494623655914,15.25,27.5,42.75,24.5,9,7.25,20,30
"9",1984,"Champion","Celtics",116,42,92.8571428571429,45.2307692307692,1.28571428571429,3.28571428571429,39.1304347826087,30.7142857142857,38.5714285714286,79.6296296296296,17.4285714285714,30,47.4285714285714,24.1428571428571,9.85714285714286,4.57142857142857,15.8571428571429,28.1428571428571
"10",1984,"Runner Up","Lakers",117.428571428571,46.7142857142857,90.7142857142857,51.496062992126,0.857142857142857,2.57142857142857,33.3333333333333,23.1428571428571,32.8571428571429,70.4347826086957,13.7142857142857,30,43.7142857142857,28.2857142857143,8.42857142857143,5.85714285714286,16.5714285714286,29.4285714285714
"11",1985,"Champion","Lakers",115.833333333333,46.3333333333333,90.5,51.1970534069982,1.33333333333333,3.83333333333333,34.7826086956522,21.8333333333333,29.6666666666667,73.5955056179775,11,31.6666666666667,42.6666666666667,32,9.16666666666667,4,12.5,25.3333333333333
"12",1985,"Runner Up","Celtics",113.166666666667,43.8333333333333,92,47.6449275362319,2.16666666666667,5.66666666666667,38.2352941176471,23.3333333333333,30.3333333333333,76.9230769230769,12.3333333333333,30.8333333333333,43.1666666666667,30.8333333333333,8.66666666666667,5,14,22.1666666666667
"13",1986,"Champion","Celtics",107.666666666667,43.6666666666667,88.8333333333333,49.155722326454,1.66666666666667,5.33333333333333,31.25,18.6666666666667,23,81.1594202898551,15,30.1666666666667,45.1666666666667,28,9.83333333333333,7.16666666666667,15.8333333333333,21
"14",1986,"Runner Up","Rockets",102,41.8333333333333,92.8333333333333,45.0628366247756,0.833333333333333,2.83333333333333,29.4117647058824,17.5,24.6666666666667,70.9459459459459,18.5,27,45.5,27.5,9,6.66666666666667,14.3333333333333,22.1666666666667
"15",1987,"Champion","Lakers",115.166666666667,46.6666666666667,90.6666666666667,51.4705882352941,2.66666666666667,6.83333333333333,39.0243902439024,19.1666666666667,25.8333333333333,74.1935483870968,12.8333333333333,27.5,40.3333333333333,26.6666666666667,8,5.83333333333333,11.1666666666667,23.8333333333333
"16",1987,"Runner Up","Celtics",111,43.6666666666667,86.1666666666667,50.6769825918762,2.33333333333333,7,33.3333333333333,21.3333333333333,27,79.0123456790123,12,29.3333333333333,41.3333333333333,27.8333333333333,5,5.5,13.6666666666667,21.3333333333333
"17",1988,"Champion","Lakers",98.7142857142857,35.4285714285714,75.8571428571429,46.7043314500942,1.42857142857143,5.71428571428571,25,26.4285714285714,35.2857142857143,74.8987854251012,10.2857142857143,27.2857142857143,37.5714285714286,23.7142857142857,5.85714285714286,3,13.1428571428571,22
"18",1988,"Runner Up","Pistons",101.285714285714,38.5714285714286,81,47.6190476190476,1.28571428571429,4.42857142857143,29.0322580645161,22.8571428571429,29.7142857142857,76.9230769230769,13.5714285714286,30,43.5714285714286,23.2857142857143,6.85714285714286,4.85714285714286,11.7142857142857,26.7142857142857
"19",1989,"Champion","Pistons",109,41.75,79.25,52.6813880126183,1.25,5,25,24.25,31.25,77.6,11.25,28.75,40,24.25,4,5.25,11.25,28.75
"20",1989,"Runner Up","Lakers",102.25,36,77.5,46.4516129032258,3.25,10.75,30.2325581395349,27,36,75,11.75,24.5,36.25,23,5.5,4,11.75,26
"21",1990,"Champion","Pistons",107,39.4,86.8,45.3917050691244,5,11.2,44.6428571428571,23.2,31.4,73.8853503184713,14.4,29,43.4,18.8,5.6,5,15,27.6
"22",1990,"Runner Up","Blazers",102,37.4,82,45.609756097561,2.2,9.4,23.4042553191489,25,33.8,73.9644970414201,11.4,29,40.4,20.6,7.2,3.4,16.4,29.8
"23",1991,"Champion","Bulls",101.4,42.6,80.8,52.7227722772277,1,4.2,23.8095238095238,15.2,18.4,82.6086956521739,11,28.2,39.2,27.8,9.8,5,12.6,21.4
"24",1991,"Runner Up","Lakers",91.6,33.4,74.8,44.6524064171123,2.6,9.2,28.2608695652174,22.2,27.4,81.021897810219,11.8,23.8,35.6,19.2,6.8,4.4,15,19.2
"25",1992,"Champion","Bulls",104,40.1666666666667,79.6666666666667,50.418410041841,4.16666666666667,10.8333333333333,38.4615384615385,19.5,27.1666666666667,71.7791411042945,10.1666666666667,27.3333333333333,37.5,26.8333333333333,7,5.16666666666667,15,25.8333333333333
"26",1992,"Runner Up","Blazers",96.6666666666667,35.3333333333333,79.8333333333333,44.258872651357,1.66666666666667,8.66666666666667,19.2307692307692,24.3333333333333,30.8333333333333,78.9189189189189,13.6666666666667,28.1666666666667,41.8333333333333,20.8333333333333,7.83333333333333,3.83333333333333,17,25.8333333333333
"27",1993,"Champion","Bulls",106.666666666667,43.8333333333333,90.6666666666667,48.3455882352941,5.33333333333333,11.5,46.3768115942029,13.6666666666667,21.6666666666667,63.0769230769231,14.3333333333333,28.8333333333333,43.1666666666667,26.8333333333333,8,5.33333333333333,11.8333333333333,23.5
"28",1993,"Runner Up","Suns",106.666666666667,40.6666666666667,86.8333333333333,46.8330134357006,4.5,10.3333333333333,43.5483870967742,20.8333333333333,26.8333333333333,77.639751552795,14.3333333333333,29,43.3333333333333,22.5,6.83333333333333,7.66666666666667,13.1666666666667,22.1666666666667
"29",1994,"Champion","Rockets",86.1428571428571,31.8571428571429,74.7142857142857,42.6386233269599,5.28571428571429,17.2857142857143,30.5785123966942,17.1428571428571,22.7142857142857,75.4716981132075,10.5714285714286,29.4285714285714,40,20.8571428571429,7.14285714285714,5.14285714285714,15.4285714285714,21.2857142857143
