"N","Year","Status","Team","PTS","FG","FGA","FGP","TP","TPA","TPP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"24",2003,"Champion","Spurs",87.8333333333333,32.1666666666667,74.5,43.1767337807606,4,12.5,32,19.5,27.6666666666667,70.4819277108434,12.3333333333333,33.5,45.8333333333333,18.1666666666667,7.83333333333333,9.83333333333333,15.8333333333333,20.5
"25",2004,"Champion","Pistons",90.8,31.4,73.2,42.896174863388,4.2,13.2,31.8181818181818,23.8,34.2,69.5906432748538,14.4,31.2,45.6,17.8,7.8,4,12.6,20.6
"26",2005,"Champion","Spurs",84.8571428571429,30.8571428571429,71.8571428571429,42.9423459244533,7.28571428571429,18.2857142857143,39.84375,15.8571428571429,22.7142857142857,69.811320754717,12.2857142857143,29.4285714285714,41.7142857142857,16.4285714285714,4.57142857142857,5.57142857142857,15,20.2857142857143
"27",2006,"Champion","Heat",92.8333333333333,33.3333333333333,72.8333333333333,45.766590389016,5.33333333333333,17.5,30.4761904761905,20.8333333333333,34.5,60.3864734299517,10.5,33.3333333333333,43.8333333333333,16.6666666666667,7.83333333333333,3.83333333333333,16,24.3333333333333
"28",2007,"Champion","Spurs",86.5,32,72,44.4444444444444,7.25,19.5,37.1794871794872,15.25,23,66.304347826087,10.75,33,43.75,16.75,6,3.75,13,18
"29",2008,"Champion","Celtics",96.4,32.6,75.4,43.236074270557,7.8,19,41.0526315789474,23.4,30.8,75.974025974026,10.2,30.8,41,21,6.8,4,14,24.6
"30",2009,"Champion","Lakers",105.666666666667,38.8333333333333,83.8333333333333,46.3220675944334,7.5,18.6666666666667,40.1785714285714,20.5,26.1666666666667,78.343949044586,11.1666666666667,30.6666666666667,41.8333333333333,19.1666666666667,9,5,9.5,24.3333333333333
"31",2010,"Champion","Lakers",90.5714285714286,31.8571428571429,76.2857142857143,41.7602996254682,5,17.8571428571429,28,21.8571428571429,28.5714285714286,76.5,13.1428571428571,29.2857142857143,42.4285714285714,14.5714285714286,7.28571428571429,6.14285714285714,12.4285714285714,22.2857142857143
"32",2011,"Champion","Mavericks",94.6666666666667,33,72.6666666666667,45.4128440366972,8.5,20.6666666666667,41.1290322580645,20.1666666666667,25.8333333333333,78.0645161290323,9.16666666666667,28.5,37.6666666666667,18.1666666666667,7.16666666666667,4,13.1666666666667,19.6666666666667
"33",2012,"Champion","Heat",102,35.6,76.8,46.3541666666667,8.4,19.6,42.8571428571429,22.4,27.2,82.3529411764706,9.8,30.4,40.2,18,6.6,3.8,11.4,19.6
"34",2013,"Champion","Heat",98.5,38,82.1666666666667,46.2474645030426,9.33333333333333,20.5,45.5284552845528,13.1666666666667,16.8333333333333,78.2178217821782,10,28.6666666666667,38.6666666666667,21.3333333333333,9.5,5.66666666666667,12.5,22.1666666666667
"35",2014,"Champion","Spurs",105.6,38.2,72.4,52.7624309392265,11,23.6,46.6101694915254,18.2,24.4,74.5901639344262,7.8,30,37.8,25.4,8,3.4,13.4,19.8
"36",2015,"Champion","Warriors",100.666666666667,36.1666666666667,83,43.574297188755,11.1666666666667,31,36.0215053763441,17.1666666666667,24.8333333333333,69.1275167785235,10.5,33.6666666666667,44.1666666666667,23,8,5,12.6666666666667,24.1666666666667
"37",2016,"Champion","Cavaliers",100.428571428571,37.5714285714286,82.4285714285714,45.580589254766,8,24.2857142857143,32.9411764705882,17.2857142857143,23.8571428571429,72.4550898203593,11.7142857142857,32.1428571428571,43.8571428571429,18,9.28571428571429,5.42857142857143,13.2857142857143,21
"38",2017,"Champion","Warriors",121.6,43.2,91,47.4725274725275,14.2,37.2,38.1720430107527,21,25.6,82.03125,12.2,33.6,45.8,29.4,7.6,4.4,13.4,24.4
