Years,Status,Average_Made_Field_Goals
1980-1989,Champion,42.95119047619048
1980-1989,Runner Up,41.436904761904756
1990-1999,Champion,36.60238095238095
1990-1999,Runner Up,34.51595238095237
2000-2009,Champion,34.57904761904762
2000-2009,Runner Up,33.7045238095238
2010-2017,Champion,36.666071428571435
2010-2017,Runner Up,35.32023809523811
