Years,Status,Average_Attempted_Threes
1980-1989,Champion,3.574999999999999
1980-1989,Runner Up,4.383333333333333
1990-1999,Champion,14.65857142857143
1990-1999,Runner Up,13.427499999999997
2000-2009,Champion,16.423571428571428
2000-2009,Runner Up,16.99809523809523
2010-2017,Champion,24.33869047619049
2010-2017,Runner Up,25.126785714285713
