Years,Status,Percentage_of_Points_TPs
1980-1989,Champion,2.8310532172546994
1980-1989,Runner Up,3.6565059299282985
1990-1999,Champion,15.74839571799879
1990-1999,Runner Up,13.556235842805698
2000-2009,Champion,19.88008458763528
2000-2009,Runner Up,17.44721037720214
2010-2017,Champion,27.91671799926082
2010-2017,Runner Up,27.61108277671608
