Years,Status,FGP
1980-1989,Champion,49.05170421328838
1980-1989,Runner Up,47.05365471185433
1990-1999,Champion,46.03314817864682
1990-1999,Runner Up,44.01635959532166
2000-2009,Champion,45.480366643806235
2000-2009,Runner Up,42.29340886207936
2010-2017,Champion,46.05222826127588
2010-2017,Runner Up,44.15588281255815
