Years,Status,Percentage_of_FGs_TPs
1980-1989,Champion,2.3975165608802924
1980-1989,Runner Up,3.091332203292443
1990-1999,Champion,13.95238404995772
1990-1999,Runner Up,12.078751391382566
2000-2009,Champion,18.455824485343864
2000-2009,Runner Up,15.617516371265697
2010-2017,Champion,25.749736436623145
2010-2017,Runner Up,25.24183491186084
