Years,Status,FTP
1980-1989,Champion,75.19060873774659
1980-1989,Runner Up,74.39627828293507
1990-1999,Champion,73.929582038317
1990-1999,Runner Up,76.59532655181124
2000-2009,Champion,68.71613796677978
2000-2009,Runner Up,73.40793509254996
2010-2017,Champion,76.503411306043
2010-2017,Runner Up,74.16804794083895
