Years,Status,Average_Made_Threes
1980-1989,Champion,1.0297619047619058
1980-1989,Runner Up,1.2809523809523815
1990-1999,Champion,5.106904761904762
1990-1999,Runner Up,4.189285714285714
2000-2009,Champion,6.341904761904762
2000-2009,Runner Up,5.263809523809524
2010-2017,Champion,9.44166666666667
2010-2017,Runner Up,8.915476190476186
