Years,Status,Average_PTS,Average_Made_Field_Goals,Average_Attempted_Field_Goals,FGP,Two_Point_FGP,Average_Made_Threes,Average_Attempted_Threes,Three_Point_Percentage,Average_FT,Average_FTA,FTP,Percentage_of_FGs_TPs,Percentage_of_FGAs_TPs,Percent_Points_Twos,Percent_Points_Three,Percent_Points_FTs
1980-1989,Champion,109.12142857142857,42.95119047619048,87.56309523809524,49.05170421328838,49.91353649893693,1.0297619047619058,3.574999999999999,28.804528804528843,22.18928571428572,29.51071428571429,75.19060873774659,2.3975165608802924,4.082770247304663,78.72182583840633,2.8310532172546994,20.33448975584212
1980-1989,Runner Up,105.09642857142858,41.436904761904756,88.06309523809523,47.05365471185433,47.98765133516381,1.2809523809523815,4.383333333333333,29.223248234655095,20.94166666666666,28.14880952380952,74.39627828293507,3.091332203292443,4.977491787544104,78.85501976642765,3.6565059299282985,19.926144923596237
1990-1999,Champion,97.28428571428574,36.60238095238095,79.51309523809525,46.03314817864682,48.563267973376306,5.106904761904762,14.65857142857143,34.8390345320469,18.972619047619048,25.66309523809525,73.929582038317,13.95238404995772,18.435417945531583,75.24829047905742,15.74839571799879,19.502244281609613
1990-1999,Runner Up,92.70904761904767,34.51595238095237,78.41619047619047,44.01635959532166,46.649575153823605,4.189285714285714,13.406666666666666,31.24778006677559,19.48785714285713,25.44261904761904,76.59532655181124,12.13724502817883,17.09680945382999,74.46080672251637,13.556235842805698,21.020447996548317
2000-2009,Champion,95.70238095238095,34.57904761904762,76.03071428571428,45.480366643806235,47.34824893402963,6.341904761904762,16.39357142857143,38.685315091571894,20.20238095238095,29.3997619047619,68.71613796677978,18.34031067533326,21.561774846631536,72.26371439233736,19.88008458763528,21.10959074511755
2000-2009,Runner Up,90.50976190476193,33.7045238095238,79.69214285714285,42.29340886207936,45.36429751438389,5.263809523809524,16.99809523809523,30.967055132227713,17.83690476190476,24.29833333333332,73.40793509254996,15.617516371265697,21.329700305042913,74.47710191744638,17.44721037720214,19.707161290152857
2010-2017,Champion,101.4625,36.666071428571435,79.61845238095239,46.05222826127588,49.3488417259201,9.44166666666667,24.451190476190487,38.61434344417936,18.6886904761905,24.428571428571423,76.503411306043,25.750418026266665,30.710456866453857,72.27511923828298,27.91671799926082,18.419308095296785
2010-2017,Runner Up,96.86845238095238,35.32023809523811,79.98988095238096,44.15588281255815,48.12845828360641,8.915476190476186,25.126785714285713,35.48196053348493,17.3125,23.342261904761912,74.16804794083895,25.24183491186084,31.412455444513064,72.92413004872836,27.61108277671608,17.872175692366305
