Years,Status,Three_Point_Percentage
1980-1989,Champion,28.804528804528843
1980-1989,Runner Up,29.223248234655095
1990-1999,Champion,34.8390345320469
1990-1999,Runner Up,31.24778006677559
2000-2009,Champion,38.685315091571894
2000-2009,Runner Up,30.967055132227713
2010-2017,Champion,38.61434344417936
2010-2017,Runner Up,35.48196053348493
