Years,Status,Average_FTA
1980-1989,Champion,29.51071428571429
1980-1989,Runner Up,28.14880952380952
1990-1999,Champion,25.66309523809525
1990-1999,Runner Up,25.44261904761904
2000-2009,Champion,29.3997619047619
2000-2009,Runner Up,24.29833333333332
2010-2017,Champion,24.428571428571423
2010-2017,Runner Up,23.342261904761912
