Years,Status,Two_Point_FGP
1980-1989,Champion,49.91353649893693
1980-1989,Runner Up,47.98765133516381
1990-1999,Champion,48.563267973376306
1990-1999,Runner Up,46.649575153823605
2000-2009,Champion,47.34824893402963
2000-2009,Runner Up,45.36429751438389
2010-2017,Champion,49.3488417259201
2010-2017,Runner Up,48.12845828360641
