Years,Status,Percentage_of_FGAs_TPs
1980-1989,Champion,4.082770247304663
1980-1989,Runner Up,4.977491787544104
1990-1999,Champion,18.435417945531583
1990-1999,Runner Up,17.09680945382999
2000-2009,Champion,21.561774846631536
2000-2009,Runner Up,21.329700305042913
2010-2017,Champion,30.710456866453857
2010-2017,Runner Up,31.412455444513064
